id,artist_name,member_name,member_bday
197,xikers,헌터,11-21
198,xikers,예찬,05-14
199,CIX,BX,03-05
200,CIX,승훈,02-26
201,CIX,용희,02-17
202,CIX,현석,09-08
203,ASTRO,차은우,03-30
204,ASTRO,문빈,01-26
205,ASTRO,MJ,03-05
206,ASTRO,진진,03-15
207,ASTRO,윤산하,03-21
208,i-dle,미연,01-31
209,i-dle,민니,10-23
210,i-dle,소연,08-26
211,i-dle,우기,09-23
212,i-dle,슈화,01-06
213,IVE,안유진,09-01
214,IVE,가을,09-24
215,IVE,레이,02-01
216,IVE,장원영,08-31
217,IVE,리즈,11-21
218,IVE,이서,02-21
219,아이유,아이유,05-16
220,iKON,김진환,02-07
221,iKON,바비,12-21
222,iKON,송윤형,02-08
223,iKON,구준회,03-31
224,iKON,DK,06-05
225,iKON,정찬우,01-26
226,아일릿,윤아,01-15
227,아일릿,민주,05-11
228,아일릿,모카,10-08
229,아일릿,원희,06-26
230,아일릿,이로하,02-04
231,&TEAM,의주,09-07
232,&TEAM,후마,06-29
233,&TEAM,케이,10-21
234,&TEAM,니콜라스,07-09
235,&TEAM,유마,02-07
236,&TEAM,조,05-13
237,&TEAM,하루아,05-01
238,&TEAM,타키,05-04
239,&TEAM,마키,02-17
240,앰퍼샌드원,나캠든,06-09
241,앰퍼샌드원,브라이언,08-27
242,앰퍼샌드원,최지호,06-10
243,앰퍼샌드원,윤시윤,01-08
244,앰퍼샌드원,카이렐,07-03
245,앰퍼샌드원,마카야,01-21
246,앰퍼샌드원,김승모,07-03
247,SF9,영빈,11-23
248,SF9,인성,07-12
249,SF9,재윤,08-09
250,SF9,다원,07-24
251,SF9,주호,07-04
252,SF9,유태양,02-28
253,SF9,휘영,05-11
254,SF9,찬희,01-17
255,aespa,카리나,04-11
256,aespa,윈터,01-01
257,aespa,지젤,10-30
258,aespa,닝닝,10-23
259,AB6IX,전웅,10-15
260,AB6IX,김동현,02-23
261,AB6IX,박우진,11-02
262,AB6IX,이대휘,01-29
263,ATBO,오준석,03-03
264,ATBO,류준민,04-05
265,ATBO,배현준,06-06
266,ATBO,정승환,01-27
267,ATBO,김연규,05-03
268,ATBO,원빈,07-01
269,ATEEZ,홍중,11-07
270,ATEEZ,성화,04-03
271,ATEEZ,윤호,03-23
272,ATEEZ,여상,06-15
273,ATEEZ,산,07-10
274,ATEEZ,민기,08-09
275,ATEEZ,우영,11-26
276,ATEEZ,종호,10-12
277,82MAJOR,남성모,04-19
278,82MAJOR,박석준,12-15
279,82MAJOR,윤예찬,04-16
280,82MAJOR,조성일,03-29
281,82MAJOR,황성빈,06-22
282,82MAJOR,김도균,09-14
283,Apink,박초롱,03-03
284,Apink,윤보미,08-13
285,Apink,정은지,08-18
286,Apink,김남주,04-15
287,Apink,오하영,07-19
288,8TURN,재윤,07-02
289,8TURN,명호,10-12
290,8TURN,민호,10-14
291,8TURN,윤성,11-13
292,8TURN,혜민,03-16
293,8TURN,경민,10-28
294,8TURN,윤규,09-07
295,8TURN,승헌,05-15
296,EXO,수호,05-22
297,EXO,찬열,11-27
298,EXO,카이,01-14
299,EXO,디오,01-12
300,EXO,백현,05-06
301,EXO,세훈,04-12
