id,artist_name,member_name,member_bday
196,xikers,진식,08-29
197,xikers,현우,01-09
198,xikers,정훈,02-14
199,xikers,세은,06-07
200,xikers,유준,12-22
201,xikers,헌터,11-21
202,xikers,예찬,05-14
203,CIX,BX,03-05
204,CIX,승훈,02-26
205,CIX,용희,02-17
206,CIX,현석,09-08
207,ASTRO,차은우,03-30
208,ASTRO,문빈,01-26
209,ASTRO,MJ,03-05
210,ASTRO,진진,03-15
211,ASTRO,윤산하,03-21
212,i-dle,미연,01-31
213,i-dle,민니,10-23
214,i-dle,소연,08-26
215,i-dle,우기,09-23
216,i-dle,슈화,01-06
217,IVE,안유진,09-01
218,IVE,가을,09-24
219,IVE,레이,02-01
220,IVE,장원영,08-31
221,IVE,리즈,11-21
222,IVE,이서,02-21
223,아이유,아이유,05-16
224,iKON,김진환,02-07
225,iKON,BOBBY,12-21
226,iKON,송윤형,02-08
227,iKON,구준회,03-31
228,iKON,DK,06-05
229,iKON,정찬우,01-26
230,아일릿,윤아,01-15
231,아일릿,민주,05-11
232,아일릿,모카,10-08
233,아일릿,원희,06-26
234,아일릿,이로하,02-04
235,&TEAM,의주,09-07
236,&TEAM,후마,06-29
237,&TEAM,케이,10-21
238,&TEAM,니콜라스,07-01
239,&TEAM,유마,02-07
240,&TEAM,조,05-13
241,&TEAM,하루아,05-01
242,&TEAM,타키,05-04
243,&TEAM,마키,02-17
244,앰퍼샌드원,나캠든,06-09
245,앰퍼샌드원,브라이언,08-27
246,앰퍼샌드원,최지호,06-10
247,앰퍼샌드원,윤시윤,01-08
248,앰퍼샌드원,카이렐,07-03
249,앰퍼샌드원,마카야,01-21
250,앰퍼샌드원,김승모,07-03
251,SF9,영빈,11-23
252,SF9,인성,07-01
253,SF9,재윤,08-09
254,SF9,다원,07-01
255,SF9,주호,07-01
256,SF9,유태양,02-28
257,SF9,휘영,05-11
258,SF9,찬희,01-17
259,aespa,카리나,04-11
260,aespa,윈터,01-01
261,aespa,지젤,10-30
262,aespa,닝닝,10-23
263,AB6IX,전웅,10-15
264,AB6IX,김동현,02-23
265,AB6IX,박우진,11-02
266,AB6IX,이대휘,01-29
267,ATBO,오준석,03-03
268,ATBO,류준민,04-05
269,ATBO,배현준,06-06
270,ATBO,정승환,01-27
271,ATBO,김연규,05-03
272,ATBO,원빈,07-01
273,ATEEZ,홍중,11-07
274,ATEEZ,성화,04-03
275,ATEEZ,윤호,03-23
276,ATEEZ,여상,06-15
277,ATEEZ,산,07-01
278,ATEEZ,민기,08-09
279,ATEEZ,우영,11-26
280,ATEEZ,종호,10-12
281,82MAJOR,남성모,04-19
282,82MAJOR,박석준,12-15
283,82MAJOR,윤예찬,04-16
284,82MAJOR,조성일,03-29
285,82MAJOR,황성빈,06-22
286,82MAJOR,김도균,09-14
287,Apink,박초롱,03-03
288,Apink,윤보미,08-13
289,Apink,정은지,08-18
290,Apink,김남주,04-15
291,Apink,오하영,07-01
292,8TURN,재윤,07-02
293,8TURN,명호,10-12
294,8TURN,민호,10-14
295,8TURN,윤성,11-13
296,8TURN,혜민,03-16
297,8TURN,경민,10-28
298,8TURN,윤규,09-07
299,8TURN,승헌,05-15
300,EXO,수호,05-22
301,EXO,찬열,11-27
302,EXO,카이,01-14
303,EXO,디오,01-12
304,EXO,백현,05-06
305,EXO,세훈,04-12
306,EXO,시우민,03-26
307,EXO,첸,09-21
308,EXO,레이,10-07
309,Xdinary Heroses,건일,07-01
310,Xdinary Heroses,정수,06-26
311,Xdinary Heroses,가온,01-14
312,Xdinary Heroses,O.de,06-11
313,Xdinary Heroses,Jun Han,08-18
314,Xdinary Heroses,주연,09-12
315,NMIXX,릴리,10-17
316,NMIXX,해원,02-25
317,NMIXX,설윤,01-26
318,NMIXX,배이,12-28
319,NMIXX,지우,04-13
320,NMIXX,규진,05-26
321,"NCT,NCT 127",쟈니,02-08
322,"NCT,NCT 127",태용,07-01
323,"NCT,NCT 127",유타,10-26
324,"NCT,NCT 127",도영,02-01
325,NCT,텐,02-27
326,"NCT,NCT 127",재현,02-14
327,"NCT,NCT 127",윈윈,10-28
328,"NCT,NCT 127,NCT DREAM",마크,08-02
329,"NCT,NCT DREAM",런쥔,03-23
330,"NCT,NCT DREAM",제노,04-23
331,"NCT,NCT 127,NCT DREAM",해찬,06-06
332,"NCT,NCT DREAM",재민,08-13
333,"NCT,NCT DREAM",천러,11-22
334,"NCT,NCT DREAM",지성,02-05
335,"NCT,NCT 127",정우,02-19
336,NCT,쿤,01-01
337,NCT,샤오쥔,08-08
338,NCT,양양,10-10
339,NCT,헨드리,09-28
340,"NCT,NCT WISH",시온,05-11
341,"NCT,NCT WISH",유우시,04-05
342,"NCT,NCT WISH",리쿠,06-28
343,"NCT,NCT WISH",사쿠야,11-18
344,"NCT,NCT WISH",료,08-04
345,"NCT,NCT WISH",재희,06-21
346,엔플라잉,이승협,10-31
347,엔플라잉,차훈,07-12
348,엔플라잉,김재현,07-15
349,엔플라잉,유회승,02-28
350,엔플라잉,서동성,04-09
351,엔하이픈,정원,02-08
352,엔하이픈,희승,10-15
353,엔하이픈,제이,04-20
354,엔하이픈,제이크,11-15
355,엔하이픈,성훈,12-08
356,엔하이픈,선우,06-24
357,엔하이픈,니키,12-09
358,여자친구,소원,12-07
359,여자친구,예린,08-19
360,여자친구,은하,05-30
361,여자친구,유주,03-05
362,여자친구,신비,06-03
363,여자친구,엄지,08-19
364,오마이걸,효정,07-01
365,오마이걸,미미,05-01
366,오마이걸,유아,09-17
367,오마이걸,승희,01-25
368,오마이걸,유빈,09-09
369,오마이걸,아린,06-18
370,OnlyOneOf,나인,05-19
371,OnlyOneOf,Mill,12-15
372,OnlyOneOf,리에,08-31
373,OnlyOneOf,준지,04-06
374,OnlyOneOf,유정,09-09
375,OnlyOneOf,규빈,04-23
376,온앤오프,효진,04-22
377,온앤오프,이션,12-24
378,온앤오프,승준,01-13
379,온앤오프,와이엇,01-23
380,온앤오프,민균,11-16
381,온앤오프,유,03-16
382,WOOAH,나나,06-18
383,WOOAH,우연,04-09
384,WOOAH,소라,12-30
385,WOOAH,루시,08-31
386,WOOAH,민서,02-14
387,우주소녀,엑시,08-05
388,우주소녀,설아,01-26
389,우주소녀,보나,08-05
390,우주소녀,수빈,09-14
391,우주소녀,은서,05-27
392,우주소녀,여름,01-01
393,우주소녀,다영,05-14
394,우주소녀,연정,11-12
395,우주소녀,루다,04-06
