id,display_name,english_name,korean_name,alias,logo,fandom
72,YOUNITE,YOUNITE,유나이트,,image/artist_logo/younite.jpg,YOUNIZ
73,UNIS,UNIS,유니스,,image/artist_logo/unis.jpg,EverAfter
74,EVNNE,EVNNE,이븐,,image/artist_logo/evnne.jpg,ENNVE
75,izna,izna,이즈나,,image/artist_logo/izna.jpg,Naya
76,이채연,Lee Chae Yeon,이채연,,image/artist_logo/leechaeyeon.jpg,Chaerish
77,EPEX,EPEX,이펙스,,image/artist_logo/epex.jpg,ZENITH
78,인피니트,INFINITE,인피니트,,image/artist_logo/infinite.jpg,Inspirit
79,ITZY,ITZY,있지,,image/artist_logo/itzy.jpg,MIDZY
80,ZEROBASEONE,ZEROBASEONE,제로베이스원,제베원,image/artist_logo/zerobaseone.jpg,ZEROSE
81,조유리,JO YURI,조유리,,image/artist_logo/joyuri.png,GLASSY
82,G-DRAGON,G-DRAGON,지드래곤,지디,image/artist_logo/gd.png,VIP
83,YENA,YENA,최예나,,image/artist_logo/yena.jpg,JIGUMI
84,Kep1er,Kep1er,케플러,,image/artist_logo/kep1er.jpg,Kep1ian
85,CRAVITY,CRAVITY,크래비티,,image/artist_logo/cravity.png,LUVITY
86,CLASS:y,CLASS:y,클라씨,,image/artist_logo/classy.jpg,CLIKE
87,KISS OF LIFE,KISS OF LIFE,키스오브라이프,키오라,image/artist_logo/kissoflife.jpg,KISSY
88,KiiiKiii,KiiiKiii,키키,,image/artist_logo/kiiikiii.jpg,TiiiKiii
89,KickFlip,KickFlip,킥플립,,image/artist_logo/kickflip.jpg,-
90,TEMPEST,TEMPEST,템페스트,,image/artist_logo/tempest.jpg,iE
91,투모로우바이투게더,TXT,투모로우바이투게더,투바투,image/artist_logo/txt.jpg,MOA
92,TWS,TWS,투어스,,image/artist_logo/tws.jpg,42
93,TREASURE,TREASURE,트레저,,image/artist_logo/treasure.jpg,Treasure Maker
94,TWICE,TWICE,트와이스,,image/artist_logo/twice.jpg,ONCE
95,FANTASY BOYS,FANTASY BOYS,판타지보이즈,,image/artist_logo/fantasyboys.jpg,Bandi
96,펜타곤,PENTAGON,펜타곤,,image/artist_logo/pentagon.jpg,UNIVERSE
97,프로미스나인,fromis_9,프로미스나인,프미나,image/artist_logo/fromis9.jpg,Flover
98,PLAVE,PLAVE,플레이브,,image/artist_logo/plave.jpg,PLLI
99,P1Harmony,P1Harmony,피원하모니,,image/artist_logo/p1harmony.jpg,P1ece
100,하성운,HA SUNG WOON,하성운,,image/artist_logo/hasungwoon.jpg,HA
101,하이라이트,HIGHLIGHT,하이라이트,,image/artist_logo/highlight.jpg,Light
102,H1-KEY,H1-KEY,하이키,,image/artist_logo/h1key.jpg,M1-KEY
103,Hearts2Hearts,Hearts2Hearts,하츠투하츠,하투하,image/artist_logo/hearts2hearts.jpg,S2U
